Batsmen,Team,Batting Style,Bowling Style,Playing Role,Image,Description
Peni Volavola Vuniwaqa,Fiji,Right hand Bat,Right arm Medium,Fiji Under-19s,,
Jone Wesele Batinibulu,Fiji,Right hand Bat,Fiji,Fiji,,
Metuisela Beitaki,Fiji,Left hand Bat,Wicketkeeper,Fiji Under-19s,,
Tevita Sokokisolomone Waqavakatoga,Fiji,Right hand Bat,Fiji,Fiji,,
Sekove Ravoka,Fiji,Right hand Bat,Fiji,Fiji,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/114300/114369.1.jpg",
Petero Cabebula,Fiji,"Cabe, Stone",Right hand Bat,Right arm Medium,,
Mea Tangi Me Ma'ara Joshua Ave,Cook Islands,Right hand Bat,Wicketkeeper,Cook Islands,,
Hayden Bob Dickson,Cook Islands,Right hand Bat,Right arm Medium fast,New Zealand Under-19s,,
Aue Parima,Cook Islands,Right hand Bat,Cook Islands,Cook Islands,,
Thomas Parima,Cook Islands,Right hand Bat,Cook Islands,Cook Islands,,
Liam Denny,Cook Islands,Right hand Bat,Right arm Offbreak,Cook Islands,,
William Kokaua,Cook Islands,Left hand Bat,Right arm Medium fast,Cook Islands,,
Dan Simpson,Cook Islands,Right hand Bat,Right arm Medium fast,Cook Islands,,
Tomakanute Ritawa,Cook Islands,Right hand Bat,Right arm Offbreak,Cook Islands,,
Glenn Miller,Cook Islands,Right hand Bat,Cook Islands,Cook Islands,,
Tomasi Vanuarua,Cook Islands,Right hand Bat,Right arm Offbreak,Cook Islands,,
Sean James Cotter,Samoa,Right hand Bat,Right arm Medium,Samoa,,
Uala Taitoe Kaisala,Samoa,Right hand Bat,Wicketkeeper,Umpire,,
Dominic Peter Michael,Samoa,Left hand Bat,Right arm Medium fast,Samoa,,"A left-hand opening batsman with a Samoan mother and a Greek Cypriot father, Dom Michael debuted for Queensland in the 2012-13 season. However, after five Sheffield Shield appearances in two seasons, he signed with Tasmania for the 2014-15 summer, continuing his journeyman status - he has played second XI cricket for Kent and Surrey on a European passport and has also played one-day cricket for the Netherlands in England's 40-over competition.ESPNcricinfo staff "
Andrew Joseph Michael,Samoa,Right hand Bat,Right arm Medium,Samoa,,"Andrew Michael has played grade cricket for Toombul and for
Sandgate-Redcliffe.  He represented Queensland Secondary Schools 15s in
2001-02; Secondary Schoolboys in 2001-02 and 2002-03; Queensland Under 17 in
2002-03.  He plays soccer.  Schools: St Patricks College, Shorncliffe;
Nudgee College. (Warwick Torrens, December 2002)"
Fereti Suluoto,Samoa,Right hand Bat,Samoa,Samoa,,
Dhananjaya Maduranga de Silva,Sri Lanka,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319800/319859.png","A technically correct top-order batsman from the southern reaches of the island, Dhananjaya de Silva briefly caught the national selectors' eye in 2015, then went on to have a bumper domestic season that marked him out for more intensive national duty. De Silva had been picked on potential in Sri Lanka's mid-year T20s against Pakistan, in 2015, but didn't quite convince he was a T20 batsman, hitting 45 off 47 balls across two innings. What followed, though, was an emphatic blooming."
Cory Dickson,Cook Islands,Left hand Bat,Right arm Offbreak,Cook Islands,,
Davis Teinaki,Cook Islands,Right hand Bat,Legbreak,Cook Islands,,
Ben Vakatini,Cook Islands,Right hand Bat,Right arm Medium fast,Cook Islands,,
Samson Sola,Samoa,Right hand Bat,Right arm Medium,Samoa,,
James David Baker,Samoa,Right hand Bat,Right arm Medium fast,Northern Districts,,
Caleb Kiran Jasmat,Samoa,Right hand Bat,Left arm Medium,Samoa,,
Saumani Fatu Tiai,Samoa,Right hand Bat,Legbreak,Samoa,,
Uili Sofi,Samoa,Left hand Bat,Left arm Medium,Samoa Under-19s,,
Douglas Finau,Samoa,Right hand Bat,Right arm Medium,Samoa Under-19s,,
Womejo Wotu,Vanuatu,Right hand Bat,Vanuatu Under-19s,Vanuatu Under-19s,,
Simpson Hopeman Obed,Vanuatu,Right hand Bat,Legbreak,Vanuatu Under-19s,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/243300/243393.1.jpg",
Williamsing Nalisa,Vanuatu,Right hand Bat,Legbreak Googly,Vanuatu,,
Darren Wotu,Vanuatu,Right hand Bat,Right arm Medium,Vanuatu,,
Apolinaire Liplip Stephen,Vanuatu,Right hand Bat,Right arm Medium,Vanuatu,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/243300/243371.1.jpg",
Sosiceni Delai,Fiji,Right hand Bat,Fiji,Fiji,,
Samuela Draunivudi,Fiji,Right hand Bat,Left arm Medium fast,Fiji,,
Sosiceni Weleilakeba,Fiji,Sos,Right hand Bat,Right arm Medium,,
Darren Ernest Roache,Samoa,Left hand Bat,Right arm Offbreak,Samoa,,
Reginald Nehonde,Botswana,Right hand Bat,Right arm Offbreak,Botswana,,"Reginald Nehonde is a right-hand batsman and offspinner who is part of the Zimbabwe squad to the 2008 Under-19 World Cup in Malaysia. He started playing the game at the age of 11, and has played for Zimbabwe U-14s and U-16s. A fan of Ricky Ponting, he is also interested in becoming a sociologist. 
Cricinfo Staff February 2008
"
Sooraj Kollery,Botswana,Left hand Bat,Left arm Medium,Botswana,,
Karabo Motlhanka,Botswana,Left hand Bat,Occasional Wicketkeeper,Botswana Under-19s,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/133600/133638.1.jpg",
Vinoo Balakrishnan,Botswana,Right hand Bat,Right arm Offbreak,Botswana,,
Zain Abbasi,Botswana,Right hand Bat,Right arm Medium,Botswana,,
Valentine Mbazo,Botswana,Vale,Right hand Bat,Wicketkeeper,,
Inzimamul Master,Botswana,Right hand Bat,Right arm Offbreak,Botswana,,
Boteng Maphosa,Botswana,Right hand Bat,Right arm Medium fast,Botswana,,
Phemelo Silas,Botswana,Phimz,Right hand Bat,Legbreak,,
Mmoloki Mooketsi,Botswana,Left hand Bat,Slow Left arm Orthodox,Botswana,,
Alpesh Ravilal Ramjani,Uganda,Left hand Bat,Slow Left arm Orthodox,Uganda,,
Protais Abanda,Cameroon,Right hand Bat,Right arm Medium fast,Cameroon,,
Kulbhushan Anill Jadhav,Cameroon,Right hand Bat,Right arm Medium,Cameroon,,
Bruno Nseke Toube,Cameroon,Right hand Bat,Right arm Medium fast,Cameroon,,
Roland Gildas Abada Amah,Cameroon,Right hand Bat,Right arm Offbreak,Cameroon,,
Abdoulaye Nono Aminou,Cameroon,Right hand Bat,Wicketkeeper,Cameroon,,
Dipita Briand Loic,Cameroon,Right hand Bat,Right arm Medium fast,Cameroon,,
Idriss Tchakou,Cameroon,Right hand Bat,Right arm Medium fast,Cameroon,,
Julien Bienvenue Abega,Cameroon,Right hand Bat,Right arm Medium,Cameroon,,
Alain Nseke Toube,Cameroon,Right hand Bat,Wicketkeeper Batter,Cameroon,,
Faustin Junior Mpegna,Cameroon,Right hand Bat,Right arm Medium fast,Cameroon,,
Appolinaire Bekoa Mengoumou,Cameroon,Right hand Bat,Right arm Medium fast,Cameroon,,
Donnex Kansonkho,Malawi,Left hand Bat,Right arm Medium,Malawi,,
Gift Kansonkho,Malawi,Right hand Bat,Right arm Medium,Malawi,,
Sami Muhammad Sohail,Malawi,Right hand Bat,Right arm Medium,Malawi,,
Moazzam Ali Baig,Malawi,Right hand Bat,Right arm Offbreak,Malawi,,
Gershom Masimba Ntambalika,Malawi,Right hand Bat,Right arm Medium,Malawi,,
Amoluk Singh Sehmbi,Ghana,Right hand Bat,Right arm Offbreak,Ghana,,
Joseph Kwame Theodore,Ghana,Right hand Bat,Wicketkeeper,Wicketkeeper Batter,,
Richmond Baaleri,Ghana,Right hand Bat,Right arm Offbreak,Ghana Under-19s,,
Rexford Bakum,Ghana,Right hand Bat,Right arm Medium,Allrounder,,
Obed Harvey Agbomadzie,Ghana,Left hand Bat,Left arm Medium,Ghana,,
Devender Singh Malik,Ghana,Right hand Bat,Wicketkeeper,Ghana,,
Daniel Kwabena Anefie,Ghana,Right hand Bat,Right arm Medium,Allrounder,,
James K Vifah,Ghana,Right hand Bat,Right arm Medium,Ghana,,
Gagandeep Singh,Ghana,Left hand Bat,Ghana,Ghana,,
Rushabhvardhan Nipun Patel,Kenya,Left hand Bat,Right arm Medium fast,Batter,,
Gerard Muthui Mwendwa,Kenya,Right hand Bat,Right arm Offbreak,Allrounder,,
Daniel Jakiel,Malawi,Right hand Bat,Right arm Fast medium,Malawi,,
Aaftab Limdawala,Malawi,,,,,
Chisomo Chete,Malawi,Right hand Bat,Wicketkeeper,Malawi,,
Mike Choamba,Malawi,Right hand Bat,Right arm Offbreak,Malawi,,
Abhik Ramesh Patwa,Tanzania,Popat,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/120700/120797.1.jpg",
Ivan Ismail Selemani,Tanzania,Right hand Bat,Right arm Offbreak,Tanzania,,
Salum Ally Jumbe,Tanzania,Left hand Bat,Right arm Medium fast,Tanzania,,
Amal Puthenpulrayi Rajeevan,Tanzania,Right hand Bat,Wicketkeeper,Tanzania,,
Jitin Pratap Singh,Tanzania,Right hand Bat,Right arm Medium,Tanzania,,
Kassim Nassoro Mussa,Tanzania,Chete,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/120500/120545.1.jpg",
Akhil Anil,Tanzania,Left hand Bat,Right arm Offbreak,Tanzania,,
Harsheed Anantkumar Chohan,Tanzania,Right hand Bat,Right arm Medium,Tanzania,,
Thatayaone Tshose,Botswana,Right hand Bat,Right arm Medium,Batting Allrounder,,
Leano Maphane,Botswana,Right hand Bat,Right arm Offbreak,Botswana,,
Samson Kwesi Awe Awiah,Ghana,Right hand Bat,Right arm Offbreak,Top order Batter,,
Kofi Stephen Bagabena,Ghana,Right hand Bat,Right arm Medium,Ghana,,
Aziz Sualley,Ghana,Right hand Bat,Legbreak,Allrounder,,
Ismail Sampuli Munir,Uganda,Right hand Bat,Right arm Offbreak,Uganda Under-19s,,
Pascal Murungi,Uganda,Right hand Bat,Right arm Medium,Uganda,,
Frederico Enoque Carava,Mozambique,Right hand Bat,Right arm Medium,Mozambique,,
Bernardo Alfredo Simango,Mozambique,Right hand Bat,Right arm Medium,Umpire,,
Alexis Raoul Balla,Cameroon,Right hand Bat,Right arm Medium fast,Cameroon,,
Riziki K Kiseto,Tanzania,Right hand Bat,Right arm Offbreak,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/120700/120795.1.jpg",
Ally Mpeka Kimote,Tanzania,Right hand Bat,Right arm Medium,Tanzania,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/120500/120546.1.jpg",
Mohamed Yunusu Issa,Tanzania,Right hand Bat,Right arm Medium,Tanzania Under-19s,,
Kelvin Marko Awala,Ghana,Right hand Bat,Right arm Offbreak,Allrounder,,
Timothy Hays David,Australia,Right hand Bat,Right arm Offbreak,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/340300/340305.png","Mumbai Indians' decision to sign Tim David for INR 8.25 crore (AUD 1.5 million) at the 2022 IPL auction confirmed two things. Firstly, that the game's formats had diverged so much that a man without a state contract or even a first-class appearance to his name could be worth such a sum; and secondly, that David had become one of the world's most sought-after T20 finishers over the previous 12 months."
Haider Ali,Pakistan,Right hand Bat,Middle order Batter,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322200/322204.png",
Shan Masood Khan,Pakistan,Shaan Masood,Shaani,Left hand Bat,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322200/322251.png","A solid and technically sound left-hand opener, Shan Masood made it to the international side after impressing consistently at junior-level cricket. With Pakistan struggling to put together a solid opening combination, Masood was the option they turned to in the Test series against South Africa in the UAE."
Alexander Daniel Hales,England,Right hand Bat,Right arm Medium,Occasional Wicketkeeper,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316604.png","Despite a central role in the resurgence of England's limited-overs team following the debacle of the 2015 World Cup, Alex Hales will probably be remembered more for what he missed than what he achieved. He sat out the 2019 World Cup after it emerged he had served a ban for a second drugs test failure for a recreational substance, which seemed to lead the England management and the team's senior players to decide that Hales' behaviour had caused a breakdown of trust between the parties. He was also overlooked for the 2021 T20 World Cup."
Ben Matthew Duckett,England,Left hand Bat,Right arm Offbreak,Wicketkeeper,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/323100/323115.png","Ben Duckett, an exciting but untamed talent, produced what promised to be a transformative season in 2016, culminating in a call up for England's winter tours of Bangladesh and India. Career-best performances in all three formats - including the sixth-highest first-class score for Northamptonshire, a one-day double-hundred for the Lions, and a starring role on NatWest Blast Finals Day - pushed him into contention even before the withdrawals of Eoin Morgan and Alex Hales from the trip to Bangladesh made his selection inevitable."
William George Jacks,England,Right hand Bat,Right arm Offbreak,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/324300/324373.png","Earmarked for a long time as a star-in-waiting, Will Jacks first shot to mainstream attention with a 25-ball hundred in a T10 game in a pre-season game against Lancashire in Dubai. After a ton against India in an Under-19 Test in the 2017 summer, he went to the Under-19 World Cup in 2018 as vice-captain, where he hit 102 against Canada but largely struggled elsewhere."
Aayan Afzal Khan,United Arab Emirates,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/348600/348618.4.jpg",
Sabir Ali,United Arab Emirates,Sabir Rao,Right hand Bat,Left arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/348600/348625.4.jpg",
Oliver Peter Stone,England,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/349500/349594.4.jpg",Olly Stone's injury-troubled career was encapsulated by his last moments as a Northants player. He damaged anterior cruciate ligaments and damaged his cartilage when he landed awkwardly while celebrating the dismissal of Moeen Ali in a NatWest Blast tie against Worcestershire and missed the rest of the season in embarrassing circumstances.  The possibility that he could spend up to a year out of the game did not dissuade nine counties from chasing his signature before he opted to join Warwickshire on a three-year deal.
Aamer Jamal,Pakistan,Right hand Bat,Right arm Medium,Allrounder,,
Christopher Roger Woakes,England,Right hand Bat,Right arm Fast medium,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316603.png","By the time Chris Woakes returned from England's tour to South Africa at the start of 2016, he feared his Test career was over. He was 27 by then and had played six Tests. But, despite bowling respectably on almost every outing, he had never quite made the breakthrough and an average of 63.75 made dispiriting reading. It looked as if he may be remembered as one of England's nearly men."
Mohammad Haris,Pakistan,Right hand Bat,Right arm Offbreak,Occasional Wicketkeeper,,
Deepak Lokandersingh Chahar,India,Deepak Chahar,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322700/322704.png","Deepak Chahar is a classical swing bowler who added T20 smarts to his game to pick up 6 for 7 against Bangladesh in 2019, then the best bowling figures in T20Is. "
Umeshkumar Tilak Yadav,India,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316667.png","Less than two seasons after fast bowler Umesh Yadav first played with a leather ball, he was bowling against the likes of Rahul Dravid and VVS Laxman in the Duleep Trophy. What makes his ascent even more remarkable is that he represents unglamorous Vidarbha in the Plate League of the Ranji Trophy. Yadav is the son of a coal-mine worker and was aiming to become a policeman. He only started considering a career in cricket as a 19-year-old, an age by which the best young Indian cricketers are in the running for a national cap. "
